"time_step","pixel_idx","AOD"
1,123,0.117682563140988
1,126,0.153322813966952
1,129,0.150895423910697
1,132,0.157175814056245
1,135,0.149797318885248
1,138,0.172761199417437
1,141,0.339563994949761
1,144,0.372462194045511
1,147,0.449830435838521
1,150,0.544826153040049
1,153,0.384945914334821
1,156,0.43549727550635
1,159,0.403395363095721
1,162,0.489920901767618
1,165,0.5347312928061
1,168,0.565574558520893
1,171,0.582354373909766
1,174,0.592603354147286
1,177,0.514156272329274
1,180,0.503078897072555
1,303,0.161067344146431
1,306,0.157406994061603
1,309,0.178136134542001
1,312,0.226683935667097
1,315,0.266639546593069
1,318,0.280587406916311
1,321,0.461851796117116
1,324,0.466918491234537
1,327,0.66548285083627
1,330,0.602293649371859
1,333,0.392497794509836
1,336,0.45381829093094
1,339,0.546001318067283
1,342,0.633573588430105
1,345,0.712605041928327
1,348,0.766964451521441
1,351,0.708424536831444
1,354,0.600983629341499
1,357,0.559544613381149
1,360,0.590034687421091
1,483,0.186458614734875
1,486,0.164284599220991
1,489,0.176171104496461
1,492,0.177288474522356
1,495,0.284806442014087
1,498,0.397506694625918
1,501,0.436813717203525
1,504,0.603102779390611
1,507,0.460715161090775
1,510,0.489227361751546
1,513,0.461794001115777
1,516,0.528836202669481
1,519,0.654174295574194
1,522,0.688716441374709
1,525,0.875741065709008
1,528,0.882002190854109
1,531,0.743795077651157
1,534,0.647046245409001
1,537,0.585263388977182
1,540,0.623889714872348
1,663,0.214932285394752
1,666,0.242365646030521
1,669,0.276349106818088
1,672,0.370632019003097
1,675,0.417773475095601
1,678,0.658759365680453
1,681,0.557592426669241
1,684,0.458191446032288
1,687,0.357107988689677
1,690,0.442471205667971
1,693,0.456264945987641
1,696,0.676906996101025
1,699,0.625642829912977
1,702,0.719572550423133
1,705,0.971218407921697
1,708,0.905621081401478
1,711,0.878958320783568
1,714,0.727631742276571
1,717,0.671397205973335
1,720,0.654501800581784
1,843,0.330098458063731
1,846,0.406561244835757
1,849,0.452084440890758
1,852,0.635397341805704
1,855,0.652305590530887
1,858,0.642576765305421
1,861,0.452970630911295
1,864,0.284613792009623
1,867,0.322989672898984
1,870,0.323432767909253
1,873,0.301836702408764
1,876,0.392902359519212
1,879,0.425055645264365
1,882,0.695748166537669
1,885,1.01394817891196
1,888,0.987651453302533
1,891,1.00502848370525
1,894,0.836979884810717
1,897,0.755797172929306
1,900,0.664680142484334
1,1023,0.388240229411167
1,1026,0.383462509300443
1,1029,0.418910110121942
1,1032,0.438380603906505
1,1035,0.465088316192123
1,1038,0.327574743005243
1,1041,0.275347326794872
1,1044,0.282070811950689
1,1047,0.303570552448946
1,1050,0.364158978853084
1,1053,0.326842672988278
1,1056,0.302877012432873
1,1059,0.570159628627152
1,1062,0.72098531712254
1,1065,1.07027904021743
1,1068,1.21830488198126
1,1071,1.21319323519613
1,1074,1.05016637975132
1,1077,0.890568694385972
1,1080,0.773231998333358
1,1203,0.193278424892924
1,1206,0.234312875843898
1,1209,0.231346065775142
1,1212,0.2173982054519
1,1215,0.223466680592537
1,1218,0.208940870255901
1,1221,0.229381035729602
1,1224,0.298291942326614
1,1227,0.336089873202582
1,1230,0.32470425793872
1,1233,0.502443152057822
1,1236,0.591925226131571
1,1239,0.876518087393682
1,1242,1.00461749702905
1,1245,1.28148124011204
1,1248,1.22804012887354
1,1251,1.20813296174553
1,1254,1.24002295915125
1,1257,1.00252403364721
1,1260,0.878939055783121
1,1383,0.169107270999424
1,1386,0.162146184171434
1,1389,0.179600274575932
1,1392,0.169081584332162
1,1395,0.187556719760323
1,1398,0.214546985385823
1,1401,0.252563252933517
1,1404,0.29771399231322
1,1407,0.339364923278481
1,1410,0.553360548237833
1,1413,0.802206559004844
1,1416,1.49927207015935
1,1419,1.34756019164342
1,1422,1.21291710352307
1,1425,1.24241181920661
1,1428,1.18013449443
1,1431,1.35191408174433
1,1434,1.3141354158688
1,1437,1.2831637168177
1,1440,0.836170754791965
1,1563,0.178097604541108
1,1566,0.157811559070979
1,1569,0.153265018965612
1,1572,0.170276014359843
