"long","lat","K","dK_dx","dK_dy"
-122.94,35.06,1.03144546017476e-06,-7.10960501160239e-06,-1.50103915642316e-06
-122.9,35.06,1.00642814090104e-06,-7.08292628779452e-06,-1.55937334474422e-05
-122.86,35.06,7.4653258344367e-07,-1.47677848494037e-06,-2.52333394958058e-06
-122.82,35.06,7.04477017617327e-07,2.49811484774227e-06,1.01644225991441e-05
-122.78,35.06,8.73884060936396e-07,4.34502383770158e-06,-3.48069682318094e-06
-122.74,35.06,8.15872447216713e-07,5.61598631938201e-06,-1.88237457183734e-05
-122.7,35.06,5.0214335191049e-07,6.43039299225435e-06,-7.77514865798334e-06
-122.66,35.06,3.72557540944101e-07,5.94056830501649e-06,8.40672388320181e-06
-122.62,35.06,5.12669605664132e-07,1.83561233485975e-06,2.63025688779422e-05
-122.58,35.06,9.51045753629835e-07,-2.59534333875668e-06,2.3773298592082e-05
-122.54,35.06,1.3472673968312e-06,8.45263689831407e-07,1.10249930805392e-05
-122.5,35.06,1.53101728150685e-06,5.95010305947758e-06,2.85498844076416e-06
-122.46,35.06,1.57860042218626e-06,7.05250485841058e-06,-3.06907905526324e-05
-122.42,35.06,1.06708724630905e-06,1.64889940744549e-05,-1.93743758957402e-05
-122.38,35.06,7.44180981380046e-07,2.31828571459722e-05,-1.13522758534334e-05
-122.34,35.06,5.54976383822823e-07,2.15133289391256e-05,-7.78305811290417e-06
-122.3,35.06,4.25258748607753e-07,1.2716061348635e-05,2.49078994853742e-06
-122.26,35.06,4.6677191441671e-07,4.45246851322196e-06,1.06889074169587e-05
-122.22,35.06,6.44920371366021e-07,5.37087540823449e-06,2.86164264582329e-05
-122.18,35.06,1.12186081233657e-06,1.5962083756079e-05,5.92593489525756e-05
-122.14,35.06,2.10951662821283e-06,1.89967282985378e-05,6.2239992940513e-05
-122.1,35.06,3.14684984388805e-06,5.77658001317289e-06,-6.08900852377714e-06
-122.06,35.06,3.04536636849176e-06,2.75223868936545e-06,-4.47983298532855e-05
-122.02,35.06,2.29872753760367e-06,8.86454988395878e-06,-4.83921398056763e-05
-121.98,35.06,1.49219187417573e-06,1.49655358077344e-05,-3.56866572343685e-05
-121.94,35.06,8.97414253602924e-07,1.6917931522598e-05,-3.94623808506055e-06
-121.9,35.06,8.31643618851915e-07,1.48555370338503e-05,1.09923439980264e-05
-121.86,35.06,1.01484935215235e-06,1.36350700211436e-05,-2.07497350691346e-06
-121.82,35.06,9.80266460370464e-07,1.08654923254475e-05,-1.72643829621164e-05
-121.78,35.06,6.92526744335191e-07,9.56335905219445e-06,-1.44185067903822e-05
-121.74,35.06,4.52218297828821e-07,2.29839514479943e-06,-4.42540070315202e-06
-121.7,35.06,3.78461619442954e-07,-3.23933074782723e-06,-2.07812373622824e-06
-121.66,35.06,3.4382622383915e-07,-2.10659742784947e-06,-8.61733872935027e-07
-121.62,35.06,3.29463992623566e-07,-9.36168410663703e-07,-8.61733872935027e-07
-123.98,35.1,7.21668925465296e-07,1.72278446539151e-05,1.79371004794477e-05
-123.94,35.1,1.02062060012276e-06,-7.37069337612076e-06,8.24297773276743e-06
-123.9,35.1,1.15800356233555e-06,2.08378832306893e-06,5.98181651177488e-06
-123.86,35.1,1.25770050419846e-06,9.38157521200368e-06,-1.05863371547298e-05
-123.82,35.1,1.08126155161963e-06,7.29863128472341e-06,8.58322521096564e-06
-123.78,35.1,1.22431530513573e-06,1.50128486856949e-06,-2.05770389697547e-05
-123.74,35.1,8.81364655639815e-07,1.43359306223666e-05,4.70673959410614e-06
-123.7,35.1,9.59810315541584e-07,4.74179760286603e-06,4.332855290044e-05
-123.66,35.1,1.68195286388225e-06,-2.30344711614968e-05,1.14752924361943e-05
-123.62,35.1,1.87320773781882e-06,-1.65764076686374e-05,-9.50842104682025e-06
-123.58,35.1,1.71473405370515e-06,5.13271662583129e-06,1.54320533232689e-05
-123.54,35.1,1.9719349424263e-06,3.06983985714729e-06,-1.28576198319012e-05
-123.5,35.1,1.75764127856128e-06,2.10302623302318e-06,-1.81829640526397e-05
-123.46,35.1,1.45459187768395e-06,6.32573998587225e-06,-4.56689239535116e-07
-123.42,35.1,1.44698039035837e-06,1.61240992607636e-05,1.35206698133042e-05
-123.38,35.1,1.67232488724677e-06,9.77310717665187e-06,1.72783511036443e-06
-123.34,35.1,1.70112213908618e-06,-4.51090270317028e-06,-1.48303305199191e-05
-123.3,35.1,1.45394996375419e-06,-1.23820782959237e-05,-1.83252114294365e-05
-123.26,35.1,1.14852977326358e-06,-8.32613300815979e-06,-4.50179451657449e-06
-123.22,35.1,1.07349986465401e-06,-5.25102881536814e-06,-7.30512535796844e-06
-123.18,35.1,9.51747775354536e-07,-5.12966313385979e-06,1.00279934247096e-05
-123.14,35.1,1.1188809990997e-06,9.92219593942309e-06,2.3765737096827e-05
-123.1,35.1,1.51497661738015e-06,9.08194415791381e-06,2.78334039089248e-06
-123.06,35.1,1.56136562389502e-06,6.59455222544435e-06,-1.90823293538238e-05
-123.02,35.1,1.24332680133129e-06,8.90057351362961e-06,-2.02671814392508e-05
