"time_index","n","cor","rmse","mae"
1,3598,0.871031616793305,0.246490064743702,0.150180615206263
2,3598,0.868844119743111,0.248397313758542,0.15236641843352
3,3598,0.871248384242691,0.245947890638983,0.151914492000876
4,3598,0.870865395321606,0.247109416515174,0.152649383395678
5,3599,0.873255430782002,0.246754831654731,0.152707843873788
6,3599,0.876538224869078,0.244127523699235,0.151265996467877
7,3599,0.866671217270072,0.253683947275954,0.152687212398028
8,3599,0.875991583184244,0.24522301839133,0.149554360224882
9,3599,0.883511038191904,0.237042375455866,0.147149807261807
10,3599,0.882617082990617,0.237440752851317,0.145433458008388
11,3599,0.880229961741779,0.239349942228001,0.145881298218509
12,3600,0.870640260359715,0.249217210315556,0.14684713105246
13,3600,0.863874065735182,0.254728575999821,0.147945982931166
14,3600,0.848442667264442,0.270183406950195,0.150805145521674
15,3600,0.844327946907471,0.275606697924169,0.152089061338762
16,3600,0.841272818171876,0.278812158833716,0.152701671688691
17,3600,0.846495597138115,0.277371078065909,0.152972467082039
18,3600,0.847838405569266,0.276789056279501,0.153613830347847
19,3600,0.850446962135612,0.278068798132795,0.153300200352071
20,3600,0.852832662697919,0.276693015797983,0.154949820097845
21,3600,0.853602933763754,0.280048885632079,0.154601054720886
22,3599,0.855753686029687,0.282741827148971,0.155296535051619
23,3598,0.858706041810528,0.280904344705293,0.155787963101941
24,3598,0.862506455946721,0.278075785390455,0.156158435877697
25,3597,0.858713157884867,0.285787675983478,0.159477820157364
26,3596,0.862901558215091,0.285149174601313,0.159706901794672
27,3595,0.857442689315943,0.293336391136568,0.163183554291889
28,3592,0.854760100990899,0.3006153265599,0.166549123999075
29,3586,0.854194323079993,0.299520188535126,0.165588774533758
30,3582,0.848486061592417,0.309036037282469,0.169104508899906
31,3574,0.853415350125623,0.297614584953155,0.167842781302407
32,3562,0.851950815430066,0.301737535633118,0.170771873060757
33,3547,0.848600136270164,0.303632650673949,0.175466241970564
34,3534,0.850242392647567,0.299658199533085,0.174580807577012
35,3519,0.841307920112263,0.305085708373428,0.178570743421143
36,3500,0.843516872386407,0.299394187332285,0.173879470850769
37,3479,0.839675224537758,0.297087684105527,0.17817342047642
38,3468,0.837632488509946,0.296117668129959,0.176973693372082
39,3485,0.844460025013131,0.298141888642366,0.178011254780424
40,3499,0.855909532724277,0.289835451276491,0.172356011353582
41,3511,0.873144375340317,0.274343580219798,0.161423993341112
42,3525,0.872074614172491,0.281789542430842,0.156479718585488
43,3535,0.879973632279006,0.271890839302762,0.145103107644466
44,3548,0.878225840829185,0.278677574550543,0.143284040812606
45,3546,0.873948353683697,0.280761060312335,0.140492573776406
46,3533,0.858393842025857,0.291799301298347,0.147359089914929
47,3518,0.827172352088813,0.315006582377257,0.157216596091513
48,3499,0.783160267206993,0.345532105042596,0.165824118549416
49,3478,0.753897598270496,0.356715766393925,0.16858986868883
50,3466,0.727141519696756,0.369274945590489,0.171245516779733
51,3485,0.695868568495138,0.395223181122871,0.17710560654893
52,3498,0.685969889184306,0.395664908343857,0.177142416025401
53,3510,0.684976997936047,0.400091338736383,0.179509705012359
54,3525,0.678455186553401,0.406411490411394,0.182670824477915
55,3535,0.670692337541512,0.413245941919709,0.184614849811088
56,3548,0.675433941006359,0.410588611843983,0.184236049260539
57,0,NA,NA,NA
58,3564,0.670777951129621,0.417189152603046,0.181551182602716
59,3575,0.672749234291113,0.412156550889007,0.181176208525982
60,3578,0.700355761064788,0.389531867008939,0.171001819731912
